"number","title","pageid","namespace","length","touched"
"1","Apollo_program","1461","","150106","20210525141547"
"2","Apollo_12","1967","","61996","20210517153827"
"3","Apollo_14","1968","","74086","20210512140212"
"4","Apollo_15","1969","","101005","20210419173056"
"5","Apollo_16","1970","","80582","20210428162434"
"6","Apollo_17","1971","","61943","20210517095919"
"7","Aeronautics","2082","","20126","20210412203822"
"8","Artillery","2508","","119121","20210525034535"
"9","Aerodynamics","2819","","40504","20210522170652"
"10","Anemometer","2994","","28274","20210521175858"
"11","BASE_jumping","4430","","36573","20210515131819"
"12","Extravehicular_activity","9792","","28166","20210402220407"
"13","Fluid_dynamics","11034","","35261","20210507163701"
"14","Fin","11036","","51980","20210519083201"
"15","Kite","11100","","46115","20210527164659"
"16","Faster-than-light","11439","","76491","20210522160623"
"17","Frederick_Abel","11552","","10356","20210405150132"
"18","Firearm","11966","","88575","20210522224912"
"19","Overview_of_gun_laws_by_nation","12686","","196424","20210526173521"
"20","Gunpowder","12737","","89666","20210526194541"
"21","Hezârfen_Ahmed_Çelebi","13463","","6116","20210511110721"
"22","Hydrostatic_shock","13746","","44818","20210305140054"
"23","Hang_gliding","13850","","38945","20210324014803"
"24","Isaac_Newton","14627","","121094","20210527151017"
"25","Interstellar_travel","14843","","81172","20210523210828"
"26","Interplanetary_spaceflight","15111","","54680","20210425103608"
"27","Jet_engine","15944","","60453","20210512122454"
"28","Leonhard_Euler","17902","","69555","20210527171424"
"29","Lift_(force)","18009","","100694","20210520121042"
"30","Leonardo_da_Vinci","18079","","124961","20210523231328"
"31","Lunar_Roving_Vehicle","18238","","36458","20210526151017"
"32","Laminar_flow","18401","","11870","20210504124324"
"33","Human_spaceflight","18896","","93327","20210527120207"
"34","Missile","19594","","23894","20210405143717"
"35","Mach_number","20051","","20132","20210521175013"
"36","Niccolò_Fontana_Tartaglia","22148","","24397","20210101182718"
"37","Orbit","22498","","57653","20210501194916"
"38","Parasailing","24208","","10036","20210514010951"
"39","Crossbow_bolt","25305","","4811","20210428183538"
"40","Robert_Zubrin","25894","","18981","20210124161659"
"41","Rocket","26301","","98709","20210509030508"
"42","Satellite","27683","","76690","20210527164320"
"43","Standard_conditions_for_temperature_and_pressure","27745","","29682","20210527072717"
"44","Small_arms","27794","","155","20201028162059"
"45","Space_Shuttle_Enterprise","28236","","39957","20210428140506"
"46","Space_exploration","28431","","93539","20210521235133"
"47","Spacecraft_propulsion","28506","","67348","20210427005655"
"48","Space_elevator","29192","","83035","20210526014728"
"49","Spear","29234","","44201","20210525042104"
"50","Space_colonization","29248","","121224","20210522041312"
"51","Statite","29417","","2426","20210421023604"
"52","Solar_sail","29420","","85103","20210507131808"
"53","Turbocharger","30886","","65502","20210526163632"
"54","Turboprop","31039","","29200","20210522152732"
"55","Thermobaric_weapon","31418","","38604","20210526122037"
"56","Torpedo","31424","","89244","20210430111542"
"57","Twin_paradox","31429","","55679","20210506003410"
"58","Wing","33537","","16133","20210521203356"
"59","Warhead","33865","","4770","20210401132205"
"60","Area_rule","34036","","16189","20210527071219"
"61","7.62_mm_caliber","35023","","6048","20210416131723"
"62","Arabidopsis_thaliana","37138","","63685","20210506100815"
"63","Depleted_uranium","37514","","128851","20210523180509"
"64","Shaped_charge","37515","","54481","20210501150051"
"65","Hybrid-propellant_rocket","37831","","50870","20210519185154"
"66","Bussard_ramjet","37853","","14693","20210502173540"
"67","Alcubierre_drive","37856","","39105","20210508193335"
"68","Thrust","37892","","12256","20210525143427"
"69","Spacecraft","37910","","35114","20210511020207"
"70","Escape_velocity","37913","","27330","20210502051452"
"71","Wind_tunnel","38247","","48818","20210507193812"
"72","Unpowered_aircraft","38847","","5845","20201226170603"
"73","Space_suit","39375","","67383","20210425195653"
"74","Rocket_sled","40226","","9304","20201226224502"
"75","Jurij_Vega","40546","","11424","20201018142413"
"76","Geostationary_orbit","41210","","47144","20210522041338"
"77","Payload","41495","","7493","20210123225217"
"78","Synchronous_orbit","41770","","4802","20200526175933"
"79","Windmill","43490","","37416","20210512050916"
"80","Gun_control","44276","","93264","20210526155805"
"81","Atmospheric_entry","45294","","95725","20210513231920"
"82","Telemetry","46256","","33079","20210519020122"
"83","Ames_Research_Center","47477","","40575","20210515034901"
"84","Parachute","48339","","60312","20210514052107"
"85","Navier–Stokes_equations","48395","","82443","20210520171440"
"86","Apparent_retrograde_motion","48908","","14838","20210305123035"
"87","Arms_control","49750","","42084","20210415145205"
"88","Space_transport","50385","","63","20201115101210"
"89","Arrow","51513","","29838","20210518141611"
"90","Kinetic_energy_penetrator","51932","","9755","20210222103011"
"91","Hypersonic_speed","55244","","15751","20210418223412"
"92","Lockheed_SR-71_Blackbird","55245","","99587","20210521150825"
"93","Ernst_Mach","55285","","32702","20210514100840"
"94","Starship","56163","","13310","20210509171732"
"95","Freeflying","56361","","7829","20201226192614"
"96","Airship","58005","","117712","20210503210200"
"97","Cordite","58244","","26218","20210526163654"
"98","Nitrocellulose","58246","","42276","20210521213134"
"99","Wright_brothers","58410","","143431","20210519040449"
"100","Chord_(aeronautics)","58413","","7039","20210420175925"
"101","Timeline_of_rocket_and_missile_technology","58741","","19151","20210426001823"
"102","Timeline_of_artificial_satellites_and_space_probes","58955","","53718","20210522125822"
"103","Robotic_spacecraft","58957","","25085","20210515145845"
"104","Altitude","59211","","25089","20210225160142"
"105","Supersonic_speed","61273","","15039","20210523093536"
"106","Paragliding","63501","","65352","20210524125928"
"107","Bullet","67679","","54031","20210521005523"
"108","Percussion_cap","67742","","19097","20210523090143"
"109","Gilding_metal","67832","","2362","20201227061935"
